trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2021,Import,40,710811,12.422,kg,12.422,578784.182
2021,Import,156,710811,0.001,kg,0.001,26.26
2021,Import,251,710811,5.654,kg,5.654,234674.026
2021,Import,276,710811,19.016,kg,19.016,412729.988
2021,Import,380,710811,1.658,kg,1.658,21817.419
2021,Import,392,710811,9.24,kg,9.24,111188.965
2021,Import,528,710811,2.024,kg,2.024,2197.06
2021,Import,784,710811,0.116,kg,0.116,3774.829
2021,Import,842,710811,0.394,kg,0.394,12846.455
2021,Import,40,710812,1229.829,kg,1229.829,52870715.424
2021,Import,156,710812,407.0,kg,407.0,22495291.005
2021,Import,233,710812,42.359,kg,42.359,1911470.707
2021,Import,380,710812,39567.54,kg,39567.54,2218674618.475
2021,Import,616,710812,452.343,kg,452.343,26581688.149
2021,Import,724,710812,2725.157,kg,2725.157,102539479.49
2021,Import,842,710812,172513.008,kg,172513.008,9098026898.74
2021,Import,36,710813,0.325,kg,0.325,14812.649
2021,Import,40,710813,157.213,kg,157.213,8592494.034
2021,Import,56,710813,47.014,kg,47.014,2635562.839
2021,Import,100,710813,0.0,kg,0.0,15.318
2021,Import,124,710813,11.058,kg,11.058,399951.37
2021,Import,156,710813,8.013,kg,8.013,2438.868
2021,Import,203,710813,11.067,kg,11.067,497951.41
2021,Import,251,710813,88.712,kg,88.712,2435518.77
2021,Import,268,710813,0.072,kg,0.072,3282.46
2021,Import,276,710813,1933.73,kg,1933.73,75598351.001
2021,Import,344,710813,15.026,kg,15.026,14717.458
2021,Import,376,710813,0.013,kg,0.013,580.995
2021,Import,380,710813,8608.398,kg,8608.398,409344823.013
2021,Import,442,710813,60.091,kg,60.091,3671240.324
2021,Import,616,710813,10.014,kg,10.014,572400.891
2021,Import,702,710813,129.208,kg,129.208,1294115.428
2021,Import,710,710813,1.624,kg,1.624,74051.209
2021,Import,724,710813,53.047,kg,53.047,2353772.379
2021,Import,752,710813,0.193,kg,0.193,8790.429
2021,Import,764,710813,0.032,kg,0.032,1479.295
2021,Import,826,710813,258.431,kg,258.431,13769519.236
2021,Import,842,710813,101.613,kg,101.613,1513277.641
2021,Export,251,710811,8.923,kg,8.923,335647.974
2021,Export,276,710811,19.635,kg,19.635,412596.501
2021,Export,380,710811,1.558,kg,1.558,58199.115
2021,Export,392,710811,0.083,kg,0.083,3925.822
2021,Export,724,710811,3.099,kg,3.099,14703.234
2021,Export,826,710811,46.481,kg,46.481,2756581.678
2021,Export,36,710812,415.216,kg,415.216,24281651.833
2021,Export,56,710812,348.154,kg,348.154,20300350.312
2021,Export,100,710812,26.103,kg,26.103,1567265.359
2021,Export,191,710812,1.05,kg,1.05,56147.577
2021,Export,196,710812,0.247,kg,0.247,14329.033
2021,Export,276,710812,55918.252,kg,55918.252,3226096487.137
2021,Export,380,710812,29280.137,kg,29280.137,1697403455.613
2021,Export,392,710812,501.458,kg,501.458,29158091.207
2021,Export,442,710812,359.499,kg,359.499,20650437.829
2021,Export,528,710812,2.71,kg,2.71,160454.317
2021,Export,616,710812,200.102,kg,200.102,11581297.74
2021,Export,710,710812,351.087,kg,351.087,19590153.928
2021,Export,724,710812,385.101,kg,385.101,21604868.951
2021,Export,752,710812,47.406,kg,47.406,2763024.054
2021,Export,807,710812,2.47,kg,2.47,135565.609
2021,Export,826,710812,76279.744,kg,76279.744,4477448250.725
2021,Export,842,710812,113427.347,kg,113427.347,6702532465.889
2021,Export,36,710813,674.599,kg,674.599,39411384.305
2021,Export,40,710813,15762.01,kg,15762.01,913183638.166
2021,Export,56,710813,267.179,kg,267.179,15452239.664
2021,Export,124,710813,1161.028,kg,1161.028,68385605.219
2021,Export,136,710813,1.418,kg,1.418,60578.898
2021,Export,196,710813,0.053,kg,0.053,2993.604
2021,Export,208,710813,56.119,kg,56.119,3250903.781
2021,Export,246,710813,0.12,kg,0.12,6774.998
2021,Export,251,710813,4503.527,kg,4503.527,214585762.626
2021,Export,268,710813,2.05,kg,2.05,62454.277
2021,Export,276,710813,43276.003,kg,43276.003,2526618893.646
