refYear,flowDesc,partnerCode,partnerISO,cmdCode,motCode,motDesc,primaryValue
2022,Export,504,MAR,53,0,TOTAL MOT,142.417
2022,Export,504,MAR,97,0,TOTAL MOT,198305.632
2022,Export,364,IRN,19,0,TOTAL MOT,209644.563
2022,Export,364,IRN,20,0,TOTAL MOT,150026.164
2022,Export,364,IRN,25,0,TOTAL MOT,1256.623
2022,Export,364,IRN,28,0,TOTAL MOT,16581.145
2022,Export,364,IRN,31,0,TOTAL MOT,17002.114
2022,Export,364,IRN,34,0,TOTAL MOT,2808157.284
2022,Export,364,IRN,48,0,TOTAL MOT,177619.518
2022,Export,364,IRN,54,0,TOTAL MOT,61065.61
2022,Export,364,IRN,57,0,TOTAL MOT,20526.942
2022,Export,364,IRN,59,0,TOTAL MOT,22400.358
2022,Export,364,IRN,65,0,TOTAL MOT,490.083
2022,Export,364,IRN,68,0,TOTAL MOT,447825.994
2022,Export,364,IRN,69,0,TOTAL MOT,48565.35
2022,Export,364,IRN,72,0,TOTAL MOT,404527.99
2022,Export,364,IRN,75,0,TOTAL MOT,107603.608
2022,Export,364,IRN,87,0,TOTAL MOT,2080.759
2022,Export,788,TUN,13,0,TOTAL MOT,11868.807
2022,Export,788,TUN,50,0,TOTAL MOT,16.755
2022,Export,784,ARE,50,0,TOTAL MOT,170621.173
2022,Export,784,ARE,53,0,TOTAL MOT,28642.634
2022,Export,748,SWZ,13,0,TOTAL MOT,32383.183
2022,Export,748,SWZ,30,0,TOTAL MOT,18199.047
2022,Export,748,SWZ,33,0,TOTAL MOT,2380495.905
2022,Export,752,SWE,53,0,TOTAL MOT,2310.093
2022,Export,591,PAN,9,0,TOTAL MOT,529342.102
2022,Export,591,PAN,17,0,TOTAL MOT,28825.892
2022,Export,591,PAN,22,0,TOTAL MOT,3251429.066
2022,Export,591,PAN,25,0,TOTAL MOT,12.566
2022,Export,591,PAN,28,0,TOTAL MOT,1262.906
2022,Export,591,PAN,29,0,TOTAL MOT,113882.536
2022,Export,591,PAN,32,0,TOTAL MOT,106855.917
2022,Export,591,PAN,51,0,TOTAL MOT,358.138
2022,Export,591,PAN,66,0,TOTAL MOT,1040.903
2022,Export,591,PAN,81,0,TOTAL MOT,3578.235
2022,Export,702,SGP,53,0,TOTAL MOT,2270.299
2022,Export,694,SLE,33,0,TOTAL MOT,5269.44
2022,Export,694,SLE,70,0,TOTAL MOT,2642.051
2022,Export,694,SLE,94,0,TOTAL MOT,2858.818
2022,Export,662,LCA,30,0,TOTAL MOT,36398.094
2022,Export,662,LCA,76,0,TOTAL MOT,34.557
2022,Export,662,LCA,94,0,TOTAL MOT,71.209
2022,Export,670,VCT,30,0,TOTAL MOT,18199.047
2022,Export,670,VCT,33,0,TOTAL MOT,2349.886
2022,Export,670,VCT,70,0,TOTAL MOT,1000.063
2022,Export,670,VCT,97,0,TOTAL MOT,2216.893
2022,Export,674,SMR,30,0,TOTAL MOT,817664.898
2022,Export,674,SMR,33,0,TOTAL MOT,288697.689
2022,Export,646,RWA,30,0,TOTAL MOT,1946405.851
2022,Export,646,RWA,33,0,TOTAL MOT,5397.197
2022,Export,646,RWA,70,0,TOTAL MOT,793.767
2022,Export,646,RWA,76,0,TOTAL MOT,2497.539
2022,Export,422,LBN,9,0,TOTAL MOT,870232.593
2022,Export,422,LBN,17,0,TOTAL MOT,16008.334
2022,Export,422,LBN,19,0,TOTAL MOT,191921.985
2022,Export,422,LBN,22,0,TOTAL MOT,422751.123
2022,Export,422,LBN,32,0,TOTAL MOT,237126.915
2022,Export,422,LBN,43,0,TOTAL MOT,32285.795
