refYear,flowDesc,partnerCode,partnerISO,cmdCode,motCode,motDesc,primaryValue
2021,Import,84,BLZ,39,1000,Air,5.471
2021,Import,51,ARM,39,1000,Air,1001.15
2021,Import,450,MDG,39,1000,Air,1307.513
2021,Import,800,UGA,39,1000,Air,216.642
2021,Import,268,GEO,39,1000,Air,5495.933
2021,Import,768,TGO,39,1000,Air,77.685
2021,Import,398,KAZ,39,1000,Air,687.128
2021,Import,104,MMR,39,1000,Air,985.832
2021,Import,388,JAM,39,1000,Air,78.779
2021,Import,44,BHS,39,1000,Air,10.942
2021,Import,72,BWA,39,1000,Air,93.003
2021,Import,466,MLI,39,1000,Air,543.794
2021,Import,600,PRY,39,1000,Air,28.448
2021,Import,270,GMB,39,1000,Air,85.344
2021,Import,862,VEN,39,1000,Air,1927.898
2021,Import,12,DZA,39,1000,Air,106.133
2021,Import,480,MUS,39,1000,Air,13569.691
2021,Import,499,MNE,39,1000,Air,3414.853
2021,Import,558,NIC,39,1000,Air,157.558
2021,Import,498,MDA,39,1000,Air,27.354
2021,Import,204,BEN,39,1000,Air,1674.055
2021,Import,340,HND,39,1000,Air,10.942
2021,Import,60,BMU,39,1000,Air,10.942
2021,Import,686,SEN,39,1000,Air,367.636
2021,Import,262,DJI,39,1000,Air,49.237
2021,Import,231,ETH,39,1000,Air,279.009
2021,Import,729,SDN,39,1000,Air,41.578
2021,Import,222,SLV,39,1000,Air,243.996
2021,Import,591,PAN,39,1000,Air,193.665
2021,Import,324,GIN,39,1000,Air,1909.298
2021,Import,516,NAM,39,1000,Air,1529.626
2021,Import,512,OMN,39,1000,Air,1879.756
2021,Import,68,BOL,39,1000,Air,146.617
2021,Import,524,NPL,39,1000,Air,5998.149
2021,Import,320,GTM,39,1000,Air,229.772
2021,Import,854,BFA,39,1000,Air,83.156
2021,Import,104,MMR,40,1000,Air,48949.142
2021,Import,862,VEN,40,1000,Air,21.883
2021,Import,266,GAB,40,1000,Air,213.36
2021,Import,92,VGB,40,1000,Air,123.639
2021,Import,686,SEN,40,1000,Air,455.168
2021,Import,398,KAZ,18,1000,Air,109.415
2021,Import,384,CIV,19,1000,Air,70735.924
2021,Import,4,AFG,20,1000,Air,8348.391
2021,Import,384,CIV,21,1000,Air,794.355
2021,Import,266,GAB,21,1000,Air,41.578
2021,Import,446,MAC,21,1000,Air,227.584
2021,Import,68,BOL,21,1000,Air,10810.236
2021,Import,516,NAM,21,1000,Air,28.448
2021,Import,748,SWZ,21,1000,Air,2213.472
2021,Import,64,BTN,21,1000,Air,44.86
2021,Import,800,UGA,21,1000,Air,129.11
2021,Import,450,MDG,21,1000,Air,1375.351
2021,Import,426,LSO,21,1000,Air,32.825
2021,Import,512,OMN,21,1000,Air,231.961
2021,Import,499,MNE,21,1000,Air,862.193
2021,Import,686,SEN,21,1000,Air,2165.33
2021,Import,51,ARM,21,1000,Air,38.295
2021,Import,480,MUS,21,1000,Air,10047.611
2021,Import,204,BEN,21,1000,Air,417.967
2021,Import,320,GTM,21,1000,Air,1065.705
2021,Import,180,COD,21,1000,Air,96.286
2021,Import,328,GUY,22,1000,Air,15167.155
2021,Import,446,MAC,23,1000,Air,108.321
2021,Import,800,UGA,24,1000,Air,10.942
2021,Import,51,ARM,24,1000,Air,118.169
2021,Import,716,ZWE,24,1000,Air,25.166
2021,Import,275,PSE,51,1000,Air,113.792
2021,Import,52,BRB,52,1000,Air,140.052
2021,Import,270,GMB,52,1000,Air,84.25
2021,Import,270,GMB,56,1000,Air,52.519
2021,Import,591,PAN,56,1000,Air,53.614
2021,Import,12,DZA,57,1000,Air,189.289
2021,Import,234,FRO,57,1000,Air,616.008
2021,Import,270,GMB,58,1000,Air,10.942
2021,Import,512,OMN,58,1000,Air,25.166
2021,Import,450,MDG,58,1000,Air,1052.576
2021,Import,716,ZWE,85,1000,Air,2139.07
2021,Import,204,BEN,85,1000,Air,676.187
2021,Import,646,RWA,85,1000,Air,24443.387
2021,Import,834,TZA,85,1000,Air,4198.267
2021,Import,894,ZMB,85,1000,Air,4798.957
2021,Import,854,BFA,85,1000,Air,5098.755
2021,Import,591,PAN,85,1000,Air,45052.861
2021,Import,180,COD,85,1000,Air,4708.142
2021,Import,104,MMR,85,1000,Air,8386.686
2021,Import,268,GEO,85,1000,Air,4640.305
2021,Import,780,TTO,85,1000,Air,6.565
2021,Import,512,OMN,85,1000,Air,2427045.645
2021,Import,20,AND,85,1000,Air,13167.042
2021,Import,678,STP,85,1000,Air,77282.244
2021,Import,478,MRT,85,1000,Air,10503.873
2021,Import,31,AZE,85,1000,Air,194562.361
2021,Import,232,ERI,85,1000,Air,82.062
2021,Import,686,SEN,85,1000,Air,5418.248
2021,Import,52,BRB,85,1000,Air,5790.26
2021,Import,499,MNE,85,1000,Air,24665.501
2021,Import,340,HND,85,1000,Air,20504.435
2021,Import,60,BMU,85,1000,Air,527.382
2021,Import,748,SWZ,85,1000,Air,155752.739
2021,Import,690,SYC,85,1000,Air,30779.63
2021,Import,148,TCD,85,1000,Air,51.425
2021,Import,800,UGA,85,1000,Air,18261.421
2021,Import,231,ETH,85,1000,Air,68.932
2021,Import,12,DZA,85,1000,Air,7630.626
2021,Import,398,KAZ,85,1000,Air,163528.888
2021,Import,388,JAM,85,1000,Air,5390.894
2021,Import,51,ARM,85,1000,Air,44716.956
2021,Import,68,BOL,85,1000,Air,10550.921
2021,Import,729,SDN,85,1000,Air,525.194
2021,Import,178,COG,85,1000,Air,41.578
2021,Import,292,GIB,85,1000,Air,11047.667
2021,Import,466,MLI,85,1000,Air,10467.766
