typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","542855.818","0","542855.818","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","242381.437","0","242381.437","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.878","true","-1","N/A","0","false","2.878","true","0","false","20256.029","0","20256.029","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43.208","true","-1","N/A","0","false","43.208","true","0","false","315406.778","0","315406.778","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21.828","true","-1","N/A","0","false","21.828","true","0","false","289171.393","0","289171.393","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","422","LBN","Lebanon","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21.763","true","-1","N/A","0","false","0","true","0","false","491423.545","0","491423.545","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","450","MDG","Madagascar","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","60.774","0","60.774","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.956","true","-1","N/A","0","false","0","true","0","false","21584.538","0","21584.538","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","528","NLD","Netherlands","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.888","true","-1","N/A","0","false","1.888","true","0","false","3492.934","0","3492.934","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","566","NGA","Nigeria","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.007","true","-1","N/A","0","false","0","true","0","false","156.734","0","156.734","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","586","PAK","Pakistan","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45","false","8","kg","45","false","45","false","0","false","799.664","0","799.664","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.853","true","-1","N/A","0","false","0.853","true","0","false","3014.201","0","3014.201","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","699","IND","India","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.99","true","-1","N/A","0","false","0.99","true","0","false","3603.82","0","3603.82","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5.909","true","-1","N/A","0","false","5.909","true","0","false","20873.37","0","20873.37","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","760.214","0","760.214","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","764","THA","Thailand","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.174","true","-1","N/A","0","false","3.174","true","0","false","5509.154","0","5509.154","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11.796","true","-1","N/A","0","false","11.796","true","0","false","153173.024","0","153173.024","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","792","TUR","Türkiye","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.015","true","-1","N/A","0","false","0.015","true","0","false","252.694","0","252.694","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","826","GBR","United Kingdom","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","111523.311","0","111523.311","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","842","USA","USA","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","2406395.554","0","2406395.554","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","0","W00","World","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","190.433","true","-1","N/A","0","false","0","true","0","false","0","6468229.041","6468229.041","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","36","AUS","Australia","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10.076","true","-1","N/A","0","false","0","true","0","false","0","196350.76","196350.76","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","156","CHN","China","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.055","true","-1","N/A","0","false","0.055","true","0","false","0","3414.583","3414.583","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","251","FRA","France","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21.023","true","-1","N/A","0","false","21.023","true","0","false","0","1157103.227","1157103.227","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31.018","true","-1","N/A","0","false","31.018","true","0","false","0","1280161.458","1280161.458","6","false","true",
