typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","156","CHN","China","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","8","kg","12","false","12","false","0","false","732111.827","0","732111.827","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","8","kg","60","false","60","false","0","false","544175.797","0","544175.797","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","203","CZE","Czechia","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1442","false","8","kg","1442","false","1442","false","0","false","6844304.054","0","6844304.054","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","233","EST","Estonia","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","474","false","8","kg","474","false","474","false","0","false","494568.891","0","494568.891","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","246","FIN","Finland","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","8","kg","8","false","8","false","0","false","348448.905","0","348448.905","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","251","FRA","France","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4686.014","true","-1","N/A","0","false","4686.014","true","0","false","75652587.51","0","75652587.51","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23388.589","true","-1","N/A","0","false","23388.589","true","0","false","30095516.016","0","30095516.016","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","292","GIB","Gibraltar","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.065","true","-1","N/A","0","false","2.065","true","0","false","84224.905","0","84224.905","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3534","false","8","kg","3534","false","3534","false","0","false","105670231.154","0","105670231.154","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","348","HUN","Hungary","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22.462","true","-1","N/A","0","false","22.462","true","0","false","18040.426","0","18040.426","6","false","true",
