reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
96,2023,Import,0,7108,2548820.608
100,2023,Import,0,7108,25631263.717
104,2023,Import,0,7108,0.75
120,2023,Import,0,7108,387.647
120,2023,Export,0,7108,674905.65
140,2023,Export,0,7108,72350644.266
144,2023,Export,0,7108,1961.384
152,2023,Export,0,7108,1009359447.813
170,2023,Import,0,7108,45814.88
203,2023,Import,0,7108,243246349.0
204,2023,Import,0,7108,5895560.928
212,2023,Import,0,7108,102.963
218,2023,Export,0,7108,1390803407.9
222,2023,Import,0,7108,606235.62
251,2023,Import,0,7108,2367583851.855
251,2023,Export,0,7108,2505934972.666
300,2023,Export,0,7108,19461168.925
308,2023,Import,0,7108,606.667
340,2023,Import,0,7108,151973.61
348,2023,Export,0,7108,63090715.0
352,2023,Import,0,7108,837966.995
360,2023,Import,0,7108,2600542010.0
372,2023,Import,0,7108,19667783.139
380,2023,Export,0,7108,3646066741.932
398,2023,Export,0,7108,430770717.82
404,2023,Export,0,7108,33469053.043
410,2023,Import,0,7108,983359175.0
418,2023,Import,0,7108,69929165.69
458,2023,Import,0,7108,2875517094.828
458,2023,Export,0,7108,642842543.895
462,2023,Import,0,7108,266679.154
478,2023,Import,0,7108,9925.639
484,2023,Export,0,7108,3531978516.0
499,2023,Import,0,7108,2758809.309
504,2023,Import,0,7108,59574030.509
516,2023,Import,0,7108,1727.577
516,2023,Export,0,7108,620065364.757
528,2023,Import,0,7108,297324705.228
558,2023,Import,0,7108,1123.59
579,2023,Import,0,7108,4704701.944
598,2023,Import,0,7108,12196.602
604,2023,Import,0,7108,68323.12
608,2023,Export,0,7108,1203469761.0
626,2023,Import,0,7108,46.58
634,2023,Export,0,7108,3602029.699
690,2023,Import,0,7108,3854.505
710,2023,Export,0,7108,6290623861.518
716,2023,Export,0,7108,1805476918.21
724,2023,Import,0,7108,583025980.048
748,2023,Import,0,7108,4409.29
752,2023,Import,0,7108,178024147.379
752,2023,Export,0,7108,824816642.95
757,2023,Export,0,7108,107165596657.388
764,2023,Import,0,7108,7918875084.944
764,2023,Export,0,7108,5978827739.054
768,2023,Import,0,7108,3521269.032
854,2023,Import,0,7108,2515.558
894,2023,Import,0,7108,142591.929
894,2023,Export,0,7108,45879112.573
24,2024,Import,0,7108,4989.16
24,2024,Export,0,7108,2776441.81
40,2024,Import,0,7108,1683643866.263
44,2024,Export,0,7108,25164.0
52,2024,Import,0,7108,2626.0
56,2024,Import,0,7108,593763292.301
56,2024,Export,0,7108,1121414126.719
70,2024,Import,0,7108,1184868.028
76,2024,Import,0,7108,6890872.0
76,2024,Export,0,7108,3960421422.0
140,2024,Import,0,7108,141075.94
140,2024,Export,0,7108,32068336.18
188,2024,Import,0,7108,4322132.03
203,2024,Import,0,7108,230643722.0
203,2024,Export,0,7108,108903294.0
214,2024,Import,0,7108,303597228.305
214,2024,Export,0,7108,1525290671.405
218,2024,Import,0,7108,297810.437
222,2024,Export,0,7108,69326.31
242,2024,Export,0,7108,74135716.564
251,2024,Import,0,7108,3204848908.082
251,2024,Export,0,7108,3547944430.453
268,2024,Import,0,7108,2232.17
300,2024,Export,0,7108,15875640.051
308,2024,Import,0,7108,10661.541
320,2024,Import,0,7108,1895678.0
328,2024,Import,0,7108,6945.713
348,2024,Import,0,7108,102709869.0
352,2024,Import,0,7108,868373.23
360,2024,Import,0,7108,4586896579.0
376,2024,Export,0,7108,3132000.0
384,2024,Import,0,7108,4535.16
398,2024,Export,0,7108,418170272.05
410,2024,Import,0,7108,2302462171.0
426,2024,Import,0,7108,23.37
450,2024,Import,0,7108,81.412
458,2024,Import,0,7108,4035031376.032
458,2024,Export,0,7108,965212575.907
484,2024,Export,0,7108,3677031558.0
499,2024,Import,0,7108,5517538.869
516,2024,Import,0,7108,274.735
528,2024,Import,0,7108,420789610.069
528,2024,Export,0,7108,448689523.971
558,2024,Import,0,7108,4264.6
566,2024,Import,0,7108,122083.669
566,2024,Export,0,7108,147323805.186
579,2024,Import,0,7108,5297446.925
600,2024,Import,0,7108,17.6
604,2024,Export,0,7108,12756325694.357
608,2024,Export,0,7108,1370854471.0
634,2024,Export,0,7108,2656980.449
642,2024,Import,0,7108,89101678.77
682,2024,Import,0,7108,8169552402.428
690,2024,Import,0,7108,810.799
703,2024,Import,0,7108,143363169.857
724,2024,Import,0,7108,409418603.608
724,2024,Export,0,7108,3190433828.233
740,2024,Export,0,7108,1006039075.406
752,2024,Import,0,7108,52203248.002
757,2024,Import,0,7108,106610995385.076
764,2024,Import,0,7108,15372283346.42
764,2024,Export,0,7108,8758037368.17
834,2024,Import,0,7108,4269104.169
860,2024,Import,0,7108,54974963.0
28,2020,Import,0,7108,27956.091
28,2020,Export,0,7108,1611671.288
28,2021,Import,0,7108,19431.137
28,2023,Export,0,7108,49947.693
328,2023,Export,0,7108,581013970.328
28,2024,Import,0,7108,2362.122
328,2024,Export,0,7108,956743659.727
20,2020,Export,0,7108,2476550.044
32,2020,Import,0,7108,6484.58
32,2020,Export,0,7108,1071168109.3
44,2020,Import,0,7108,32376.0
52,2020,Export,0,7108,811986.5
60,2020,Import,0,7108,8210.37
68,2020,Export,0,7108,1229638379.29
72,2020,Export,0,7108,50493518.922
96,2020,Export,0,7108,11712816.86
108,2020,Export,0,7108,45970920.243
116,2020,Export,0,7108,3011284884.0
120,2020,Export,0,7108,162247.48
140,2020,Export,0,7108,9826211.015
152,2020,Export,0,7108,839699790.277
170,2020,Import,0,7108,50027.79
170,2020,Export,0,7108,2901983481.07
178,2020,Export,0,7108,231247.58
180,2020,Export,0,7108,3959114.239
188,2020,Export,0,7108,16059557.33
212,2020,Import,0,7108,470.74
218,2020,Export,0,7108,378490100.06
222,2020,Import,0,7108,2421.75
242,2020,Import,0,7108,5475.365
242,2020,Export,0,7108,58249083.202
266,2020,Export,0,7108,2702667.393
320,2020,Import,0,7108,975071.0
320,2020,Export,0,7108,2106.0
328,2020,Export,0,7108,1974860857.849
340,2020,Import,0,7108,23638.63
