trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Export,266,7117,0.05,kg,0.05,26.651
2020,Export,251,7117,15107.214,kg,15107.214,5106432.086
2020,Export,246,7117,44.99,kg,44.99,20698.575
2020,Export,234,7117,0.018,kg,0.018,10.661
2020,Export,233,7117,11.533,kg,11.533,3262.136
2020,Export,231,7117,1.0,kg,1.0,90.615
2020,Export,226,7117,0.018,kg,0.018,10.661
2020,Export,218,7117,10.192,kg,10.192,341.138
2020,Export,214,7117,1.664,kg,1.664,544.755
2020,Export,208,7117,124.236,kg,124.236,40578.418
2020,Export,204,7117,2.026,kg,2.026,58.633
2020,Export,203,7117,8562.139,kg,8562.139,4612822.88
2020,Export,196,7117,10.089,kg,10.089,2908.205
2020,Export,191,7117,15.937,kg,15.937,7410.167
2020,Export,188,7117,2.309,kg,2.309,1491.415
2020,Export,180,7117,0.042,kg,0.042,21.321
2020,Export,170,7117,467.93,kg,467.93,1367.752
2020,Export,156,7117,5870.341,kg,5870.341,2479625.551
2020,Export,152,7117,41.297,kg,41.297,21913.881
2020,Export,144,7117,0.096,kg,0.096,42.642
2020,Export,136,7117,5.684,kg,5.684,826.195
2020,Export,124,7117,298.617,kg,298.617,174627.704
2020,Export,120,7117,0.026,kg,0.026,15.991
2020,Import,858,7103,0.0,N/A,35.0,1822.168
2020,Export,116,7117,5.005,kg,5.005,739.844
2020,Export,112,7117,2.172,kg,2.172,630.04
2020,Export,108,7117,0.062,kg,0.062,31.982
2020,Export,100,7117,148.61,kg,148.61,22499.146
2020,Export,76,7117,510.727,kg,510.727,17239.218
2020,Export,70,7117,685.007,kg,685.007,122157.413
2020,Export,56,7117,696.103,kg,696.103,428640.456
2020,Export,51,7117,2.137,kg,2.137,1298.458
2020,Export,48,7117,86.032,kg,86.032,136044.946
2020,Export,44,7117,2.096,kg,2.096,15020.752
2020,Export,40,7117,14080.297,kg,14080.297,2815748.195
2020,Export,36,7117,110.869,kg,110.869,107182.501
2020,Export,32,7117,15.0,kg,15.0,7199.087
2020,Export,31,7117,16.373,kg,16.373,9619.038
2020,Export,20,7117,0.522,kg,0.522,233.467
2020,Export,12,7117,0.106,kg,0.106,63.963
2020,Export,8,7117,13.355,kg,13.355,4328.194
2020,Export,858,7116,0.24,kg,0.24,455.207
2020,Export,842,7116,364.581,kg,364.581,3234473.249
2020,Export,826,7116,2137.982,kg,2137.982,2928769.494
2020,Export,818,7116,0.361,kg,0.361,683.343
2020,Export,807,7116,8.027,kg,8.027,2755.759
2020,Export,804,7116,0.836,kg,0.836,1583.096
2020,Export,792,7116,1.739,kg,1.739,3291.986
2020,Export,788,7116,0.009,kg,0.009,17.057
2020,Export,784,7116,31.047,kg,31.047,641450.08
2020,Export,764,7116,2328.036,kg,2328.036,2052552.2
2020,Export,752,7116,35.893,kg,35.893,107007.668
2020,Export,724,7116,388.601,kg,388.601,62617.028
2020,Export,710,7116,8.847,kg,8.847,14498.384
2020,Export,705,7116,1.503,kg,1.503,1133.219
2020,Export,704,7116,1.354,kg,1.354,1075.652
2020,Export,703,7116,4.797,kg,4.797,1721.683
2020,Export,702,7116,44.147,kg,44.147,162283.822
2020,Export,699,7116,22.632,kg,22.632,13204.19
2020,Export,694,7116,2.0,kg,2.0,18656.009
2020,Export,688,7116,2.312,kg,2.312,1174.796
2020,Export,682,7116,4.061,kg,4.061,7690.54
2020,Export,643,7116,27.529,kg,27.529,56115.142
2020,Export,642,7116,6.791,kg,6.791,3767.448
2020,Export,634,7116,8.294,kg,8.294,15627.339
2020,Export,620,7116,50.023,kg,50.023,23064.157
2020,Export,616,7116,46.488,kg,46.488,25188.81
2020,Export,608,7116,0.257,kg,0.257,486.122
2020,Export,604,7116,0.555,kg,0.555,1051.133
2020,Export,600,7116,0.125,kg,0.125,236.665
2020,Import,40,7105,0.0,N/A,21.0,719.698
2020,Import,100,7105,0.0,N/A,75.0,51820.377
2020,Import,156,7105,0.0,N/A,13282.0,5012093.031
2020,Import,410,7105,0.0,N/A,84.0,91169.19
2020,Import,620,7105,0.0,N/A,3.0,597.083
2020,Import,642,7105,0.0,N/A,210.0,136430.187
2020,Import,724,7105,0.0,N/A,65.0,11148.386
2020,Import,748,7105,0.0,N/A,11.0,52461.174
2020,Import,826,7105,0.0,N/A,436.0,883413.637
2020,Export,410,7105,0.0,N/A,2742.0,2338620.239
2020,Export,591,7116,0.244,kg,0.244,462.669
2020,Export,586,7116,1.297,kg,1.297,2456.197
2020,Export,579,7116,0.584,kg,0.584,1105.502
2020,Export,566,7116,0.008,kg,0.008,14.925
2020,Export,528,7116,109.012,kg,109.012,959332.478
2020,Export,524,7116,0.155,kg,0.155,294.232
2020,Export,512,7116,1550.0,kg,1550.0,5804683.85
2020,Export,504,7116,0.075,kg,0.075,141.786
2020,Export,496,7116,0.021,kg,0.021,40.51
2020,Export,490,7116,17.243,kg,17.243,32465.719
2020,Export,484,7116,16.071,kg,16.071,35789.687
2020,Export,480,7116,227.141,kg,227.141,31407.124
2020,Export,470,7116,0.096,kg,0.096,181.23
2020,Export,466,7116,3.0,kg,3.0,2943.385
2020,Export,458,7116,3.138,kg,3.138,5942.205
2020,Export,442,7116,1.193,kg,1.193,466.933
2020,Export,440,7116,0.019,kg,0.019,35.18
2020,Import,458,7108,0.0,N/A,0.0,106108506.88
2020,Import,784,7108,0.0,N/A,0.0,8003378761.611
2020,Export,434,7116,0.045,kg,0.045,85.285
2020,Export,428,7116,0.313,kg,0.313,592.728
2020,Export,422,7116,250.537,kg,250.537,16894.881
2020,Export,414,7116,5.525,kg,5.525,10462.29
2020,Export,410,7116,18.018,kg,18.018,80563.042
2020,Export,400,7116,1.24,kg,1.24,2348.525
2020,Export,398,7116,1.741,kg,1.741,2933.791
2020,Export,392,7116,141.107,kg,141.107,336170.616
2020,Export,384,7116,2.034,kg,2.034,507.443
2020,Export,380,7116,246.714,kg,246.714,548316.087
2020,Import,56,7101,0.0,N/A,0.0,23421.633
2020,Import,251,7101,0.0,N/A,0.0,1538998.659
2020,Import,276,7101,0.0,N/A,0.0,542855.818
2020,Import,344,7101,0.0,N/A,0.0,242381.437
2020,Import,826,7101,0.0,N/A,0.0,111523.311
2020,Import,842,7101,0.0,N/A,0.0,2406395.554
2020,Import,4,7103,0.0,N/A,2384.839,108849.234
2020,Import,36,7103,0.0,N/A,0.0,911052.166
2020,Import,40,7103,0.0,N/A,1476.369,1261541.815
2020,Import,56,7103,0.0,N/A,90.96,5128728.862
2020,Import,68,7103,0.0,N/A,305.192,11391.484
2020,Import,76,7103,0.0,N/A,28062.036,3410965.79
2020,Import,124,7103,0.0,N/A,51.344,39101.45
2020,Import,144,7103,0.0,N/A,334.195,13098681.918
2020,Import,156,7103,0.0,N/A,8180.566,12082802.297
2020,Import,170,7103,0.0,N/A,16.045,17694167.993
2020,Import,203,7103,0.0,N/A,65.715,7125.542
2020,Import,231,7103,0.0,N/A,89.966,47605.613
2020,Import,251,7103,0.0,N/A,0.0,66770383.858
2020,Import,276,7103,0.0,N/A,0.0,24719160.985
